sep=;
Execution Time;Execution Time UTC;ISIN;Publication Time;Publication Time UTC;CCY;Venue of execution (MIC Code);Venue of publication (MIC Code);Price notation;Transaction to be cleared;MMT Flags;Transaction ID Code;Price;Volume;Buyer;Seller;Trade type
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064217;210.300;1248;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064216;210.300;3513;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064215;210.300;1042;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064214;210.300;1663;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064213;210.300;4436;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064212;210.300;817;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064211;210.300;4393;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064210;210.300;2338;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064209;210.300;779;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064208;210.300;7169;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064207;210.300;225;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064206;210.300;219;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064205;210.300;6099;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064204;210.300;1252;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064203;210.300;1676;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064202;210.300;1541;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064201;210.300;1967;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------P----;001064200;210.300;405;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------P----;001064199;210.300;9;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064198;210.300;522;;;
